,时间,公司名,轮次,金额,投资机构
0,2018/5/16,币市,战略投资,未透露,大都会创投
1,2018/5/16,速职,Pre-A轮,数百万人民币,未透露
2,2018/5/16,兔子商城,A轮,数千万人民币,未透露
3,2018/5/16,纷享出海,种子轮,数百万人民币,未透露
4,2018/5/16,小步网络,B轮,未透露,普华资本
5,2018/5/16,欧普曼迪,B轮,数千万人民币,西域投资-清控银杏创投
6,2018/5/16,中科闻歌,A轮,数亿人民币,中科创星
7,2018/5/16,CODING,B+轮,数千万人民币,腾讯云
8,2018/5/16,老虎山黑糖专卖,Pre-A轮,数千万人民币,未透露
9,2018/5/16,启明医疗,战略投资,未透露,未透露
10,2018/5/16,ChainPlus,天使轮,1200万人民币,极豆资本
11,2018/5/16,寓乐湾,C轮,未透露,未透露
12,2018/5/16,车叫兽,A+轮,未透露,未透露
13,2018/5/16,星图智控,C轮,未透露,未透露
14,2018/5/16,贝拉比,Pre-A轮,数千万人民币,红秀资本
15,2018/5/16,海链租房,Pre-A轮,数千万人民币,未透露
16,2018/5/16,海之猫,Pre-A轮,1000万人民币,君上资本-胖猫创投(找钢网)
17,2018/5/16,Philm黑咔相机,A+轮,数千万美元,启明创投-GGV纪源资本
18,2018/5/15,氦舶科技,天使轮,1000万人民币,清控科创控股-瑞和创投
19,2018/5/15,Myshare,天使轮,数百万人民币,信天创投-节点资本
20,2018/5/16,币市,战略投资,未透露,大都会创投
21,2018/5/16,速职,Pre-A轮,数百万人民币,未透露
22,2018/5/16,兔子商城,A轮,数千万人民币,未透露
23,2018/5/16,纷享出海,种子轮,数百万人民币,未透露
24,2018/5/16,小步网络,B轮,未透露,普华资本
25,2018/5/16,欧普曼迪,B轮,数千万人民币,西域投资-清控银杏创投
26,2018/5/16,中科闻歌,A轮,数亿人民币,中科创星
27,2018/5/16,CODING,B+轮,数千万人民币,腾讯云
28,2018/5/16,老虎山黑糖专卖,Pre-A轮,数千万人民币,未透露
29,2018/5/16,启明医疗,战略投资,未透露,未透露
30,2018/5/16,ChainPlus,天使轮,1200万人民币,极豆资本
31,2018/5/16,寓乐湾,C轮,未透露,未透露
32,2018/5/16,车叫兽,A+轮,未透露,未透露
33,2018/5/16,星图智控,C轮,未透露,未透露
34,2018/5/16,贝拉比,Pre-A轮,数千万人民币,红秀资本
35,2018/5/16,海链租房,Pre-A轮,数千万人民币,未透露
36,2018/5/16,海之猫,Pre-A轮,1000万人民币,君上资本-胖猫创投(找钢网)
37,2018/5/16,Philm黑咔相机,A+轮,数千万美元,启明创投-GGV纪源资本
38,2018/5/15,氦舶科技,天使轮,1000万人民币,清控科创控股-瑞和创投
39,2018/5/15,Myshare,天使轮,数百万人民币,信天创投-节点资本
40,2018/5/15,易商红木,D轮,3.06亿美元,京东
41,2018/5/15,芝麻街英语,战略投资,2.63亿人民币,威创股份
42,2018/5/15,三角兽,B轮,1.1亿人民币,赛富基金-富士康-火炬创投-中民投
43,2018/5/15,cyberinsight,A轮,未透露,IDG资本
44,2018/5/15,EasyStack,C+轮,3亿人民币,未透露
45,2018/5/15,爱特康医疗,B轮,数千万人民币,博行资本
46,2018/5/15,Roadstar.ai,A轮,1.28亿美元,深创投-云启资本-元璟资本-双湖资本-招银国际
47,2018/5/15,求渔学院,Pre-A轮,未透露,明师教育-智来时代
48,2018/5/15,赫美集团,战略投资,未透露,韬蕴资本
49,2018/5/15,小鱼在家,C+轮,8000万美元,百度公司
50,2018/5/15,戏精大侦探,天使轮,数百万人民币,经纬中国
51,2018/5/14,港盛科技GSOMS,天使轮,数百万人民币,信天创投
52,2018/5/14,酷哇机器人,B轮,未透露,软银中国-盈峰资本-中民投-创世伙伴资本
53,2018/5/14,龚记永元,天使轮,数百万人民币,钟玮玮
54,2018/5/14,观界创宇,A轮,数千万人民币,苏州清研资本
55,2018/5/14,求臻医学,战略投资,5000万人民币,扬子投资
56,2018/5/14,蜂窝安递,种子轮,数百万人民币,顶商投资
57,2018/5/14,凯英科技,新三板定增,6007万人民币,未透露
58,2018/5/14,志诚教育,新三板定增,2035万人民币,未透露
59,2018/5/14,艾漫科技,新三板定增,3979万人民币,未透露
60,2018/5/14,惠下单,战略投资,未透露,腾讯
61,2018/5/14,魔盒CITYBOX,B+轮,数亿人民币,未透露
62,2018/5/14,信数金服,Pre-A轮,数千万人民币,未透露
63,2018/5/14,成长保,B+轮,1.5亿人民币,昆仑万维
64,2018/5/13,澎峰科技,B轮,未透露,丰厚资本-BWVC泽厚资本
65,2018/5/12,起向教育,天使轮,数百万人民币,世纪长河集团
