,时间,公司名,轮次,金额,投资机构
0,2015/10/8,分秒速递,天使轮,数百万人民币,未透露
1,2015/10/8,聘宝PinBot,Pre-A轮,数百万人民币,洪泰基金
2,2015/10/8,溢米辅导,天使轮,1000万人民币,未透露
3,2015/10/8,Gminix其明,天使轮,500万人民币,张江火炬创投
4,2015/10/8,乔大招,A轮,数百万美元,创新工场
5,2015/10/8,黄太吉,B轮,1.8亿人民币,盛景网联(盛景嘉成)-分享投资-金慧丰投资-唯嘉资本
6,2015/10/8,派尔特医疗,A轮,数千万人民币,秉鸿资本
7,2015/10/8,霸霸,天使轮,300万人民币,稳国基金
8,2015/10/8,Soda苏打共享车,A轮,1692万人民币,万安科技
9,2015/10/7,117运动,天使轮,数千万人民币,未透露
10,2015/10/7,禅风文化,天使轮,1000万人民币,未透露
11,2015/10/7,云势软件,天使轮,600万人民币,未透露
12,2015/10/7,冬雷脑科医生集团,A轮,数千万人民币,弘晖资本-飞马基金-飞马旅-中卫基金-上海建信资本
13,2015/10/7,视全十美,天使轮,100万人民币,未透露
14,2015/10/6,联汇科技,不明确,数百万人民币,上海融翼资本
15,2015/10/6,创乐网,A轮,3000万人民币,信中利资本-正和岛正和磁系资本
16,2015/10/6,衣二三,A轮,数百万美元,金沙江创投-天使投资人王刚
17,2015/10/6,快乐+,天使轮,200万人民币,创业接力(创业基金会)
18,2015/10/6,企点点,天使轮,1000万人民币,未透露
19,2015/10/6,挖挖,天使轮,数百万人民币,未透露
20,2015/10/5,户帮户,天使轮,未透露,未透露
21,2015/10/5,哼哼音乐,天使轮,400万人民币,京东
22,2015/10/5,同龄圈,天使轮,500万人民币,洪泰基金
23,2015/10/4,哆啦宝,A+轮,3500万人民币,深创投-易宝支付-集结号资本
24,2015/10/3,卖到全世界,天使轮,300万人民币,未透露
25,2015/10/3,PPbuyer,天使轮,未透露,成为资本-微店
26,2015/10/3,蜜友天空,天使轮,600万人民币,未透露
27,2015/10/3,海豚村,A轮,数千万人民币,天风证券(天风天睿)
28,2015/10/3,好材到家,天使轮,500万人民币,未透露
29,2015/10/3,始于Travelman川沃网络,天使轮,100万人民币,未透露
30,2015/10/2,贝思客,B轮,2650万人民币,东方证券(东方星晖)-光大资本
31,2015/10/2,凌笛数码,天使轮,1000万人民币,未透露
32,2015/10/2,Linker领科云,A轮,3900万人民币,奇虎360
33,2015/10/1,微烧严选,种子轮,未透露,联创永宣-安芙兰资本-长石资本
34,2015/10/1,电动邦,Pre-A轮,未透露,好望角投资-迭代资本
35,2015/10/1,俄速通,A轮,数千万人民币,弘卓资本
36,2015/10/1,合锐赛尔,战略投资,未透露,金鼎资本
37,2015/10/1,众信旅游悠哉网,战略投资,未透露,金鼎资本
38,2015/10/1,际通天下,天使轮,未透露,杭州水木泽华基金
39,2015/10/1,赛四达,C轮,4000万人民币,创东方投资-天堂硅谷-青岛中合信
40,2015/10/1,人之初,新三板,未透露,未透露
41,2015/10/1,天元信息技术,新三板,未透露,未透露
42,2015/10/1,Mylab木艺实验室,天使轮,200万人民币,未透露
43,2015/10/1,火速移动,Pre-A轮,3000万人民币,朗玛峰创投
44,2015/10/1,意能通,种子轮,300万人民币,未透露
45,2015/10/1,飞艾,天使轮,300万人民币,未透露
46,2015/10/1,拾初,种子轮,未透露,未透露
47,2015/10/1,米居科技,天使轮,250万人民币,春泉创投
48,2015/10/1,搜猎人,天使轮,未透露,诺亚信
49,2015/10/1,确成硅化,新三板,未透露,国泰瑞丰
50,2015/10/1,泛米科技,天使轮,100万人民币,创客总部
51,2015/10/1,搜轻松,种子轮,80万人民币,未透露
52,2015/10/1,多米游,天使轮,650万人民币,未透露
53,2015/10/1,环球塑化网,B轮,5000万人民币,启赋资本
54,2015/10/1,金英杰教育,A轮,未透露,未透露
55,2015/10/1,集合号,Pre-A轮,未透露,顺为资本
56,2015/10/1,掌通家园,B轮,数亿人民币,青桐资本
57,2015/10/1,百加教育,种子轮,未透露,骑士创投
58,2015/10/1,拼豆夜宵,A轮,2500万人民币,远镜创投-大河创投
59,2015/10/1,Timer运动,A轮,1200万人民币,未透露
60,2015/10/1,Demo++,天使轮,200万人民币,六禾创投
61,2015/10/1,探宝Thoughtbuzz,A轮,未透露,未透露
62,2015/10/1,PartyGo派对狗,A轮,未透露,源码资本
63,2015/10/1,嘿吧,A轮,未透露,联众创投
64,2015/10/1,小劳招聘,天使轮,未透露,真格基金
65,2015/10/1,华夏地标,A轮,未透露,深圳协同创新基金
66,2015/10/1,快乐加,天使轮,1000万人民币,九合创投-梅花天使创投
67,2015/10/1,易居乐筑,A轮,未透露,北极光创投
68,2015/10/1,门罗,天使轮,300万人民币,万鼎创投
69,2015/10/1,若联科技,天使轮,500万人民币,未透露
70,2015/10/1,WiFiPix无限向溯科技,A轮,数千万人民币,未透露
71,2015/10/1,黑米科技,A轮,未透露,未透露
72,2015/10/1,CARFAM车加科技,天使轮,未透露,未透露
73,2015/10/1,CarFAM,天使轮,未透露,刚泰控股
74,2015/10/1,微摇软件,A+轮,未透露,万达集团
75,2015/10/1,简贷,天使轮,500万人民币,未透露
76,2015/10/1,洋葱淘,A轮,未透露,未透露
77,2015/10/1,起小点工作室,天使轮,未透露,未透露
78,2015/10/1,好医术,天使轮,1000万人民币,未透露
79,2015/10/1,宝贝动起来,天使轮,未透露,未透露
80,2015/10/1,宝宝巴士,B轮,未透露,基因资本
81,2015/10/1,音约吧,天使轮,数百万人民币,德迅投资
82,2015/10/1,房丞相,天使轮,未透露,未透露
83,2015/10/1,e瓷,天使轮,未透露,未透露
84,2015/10/1,信我旅游网,天使轮,660万人民币,长城影视
85,2015/10/1,厦门神州鹰,B轮,数亿人民币,真格基金-高通Qualcomm-Ventures-和通国际-首泰金信(首泰投资)
86,2015/10/1,火速移动,Pre-A轮,3000万人民币,未透露
87,2015/10/1,丫哥AR,天使轮,650万人民币,东湖天使基金
88,2015/10/1,小胖熊,天使轮,1000万人民币,春泉创投
89,2015/10/1,淘力,天使轮,数百万人民币,未透露
90,2015/10/1,格列佛,天使轮,数百万人民币,未透露
91,2015/10/1,维登,种子轮,未透露,Integral雄厚资本
92,2015/10/1,V大夫,B轮,数千万美元,经纬中国-SIG海纳亚洲
93,2015/10/1,寰慧科技,B轮,1500万人民币,天鹰资本
94,2015/10/1,盈家生活,Pre-A轮,数千万人民币,联创永宣-薛蛮子(蛮子基金)-无穹创投-暴龙投资-艾瑞资本(艾瑞)
95,2015/10/1,熊猫快收,天使轮,数百万人民币,戈壁创投
96,2015/10/1,舞动时代,天使轮,300万人民币,黑马基金
97,2015/10/1,e海外,天使轮,300万人民币,未透露
98,2015/10/1,彩球网,Pre-A轮,数百万人民币,创势资本
99,2015/10/1,九天微星,种子轮,500万人民币,未透露
100,2015/10/1,由米,天使轮,150万人民币,六禾创投-东湖天使基金
101,2015/10/1,NX管家网,种子轮,数百万人民币,未透露
102,2015/10/1,慧算账,Pre-A轮,2500万人民币,IDG资本
103,2015/10/1,嗨梦巴士,天使轮,数百万人民币,未透露
104,2015/10/1,发现周末,A轮,800万人民币,梅花天使创投-远镜创投
105,2015/10/1,时空电动汽车,B轮,8亿人民币,华映资本-天堂硅谷
106,2015/10/1,兑吧,B轮,3000万人民币,国泰创投-云毅投资
107,2015/9/30,威努特,Pre-A轮,未透露,神州数码
108,2015/9/30,炙美科技,天使轮,未透露,温青创投
109,2015/9/30,上海易教,A轮,6200万人民币,好未来(学而思)-上海国际创投SIGVC
